Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:PRO:AMD,RXN:VAR:CAT:AMD,RXN:VAR:SOL:AMD,RXN:RCT:AMD,RXN:VAR:RGT:AMD
Clc1cc(Br)cc(Br)c1,COC(=O)C1CNC1.Cl.COC(=O)C1CN(c2cc(Cl)cc(Br)c2)C1,Clc1cc(Br)cc(Br)c1>>COC(=O)C1CNC1.Cl.COC(=O)C1CN(c2cc(Cl)cc(Br)c2)C1,"['14862-52-3', '100202-39-9']",1807593-40-3,31-172-CAS-18019613,1,1,100,534-17-8,108-88-3,Buchwald coupling,Preparation of phenylazetidine carboxylate and carboxamide compounds as,"Feenstra, Roelof Willem; Van Dongen, Maria Johanna Petronella; Boubia,","France, FR3017867 A1 2015-08-28","['51364-51-3', '161265-03-8']",,,,,,
Clc1cc(Br)cc(Br)c1,COC(=O)C1CNC1.Cl.COC(=O)C1CN(c2cc(Cl)cc(Br)c2)C1,Clc1cc(Br)cc(Br)c1>>COC(=O)C1CNC1.Cl.COC(=O)C1CN(c2cc(Cl)cc(Br)c2)C1,"['14862-52-3', '100202-39-9']",1807593-40-3,31-172-CAS-18297019,1,1,100,534-17-8,108-88-3,Buchwald coupling,Preparation of phenylazetidine carboxylate and carboxamide compounds as,"Boubia, Benaiessa; Massardier, Christine; Guillier, Fabrice; Poupardin,","World Intellectual Property Organization, WO2015124868 A1 2015-08-27","['51364-51-3', '161265-03-8']",,,,,,
CC1(C)OB(c2ccc3c(c2)CCCO3)OC1(C)C,Cn1nc(-c2cc3c(s2)CCC3)c(Br)c1C=O.Cn1nc(-c2cc3c(s2)CCC3)c(-c2ccc3c(c2)CCCO3)c1C=O,CC1(C)OB(c2ccc3c(c2)CCCO3)OC1(C)C>>Cn1nc(-c2cc3c(s2)CCC3)c(Br)c1C=O.Cn1nc(-c2cc3c(s2)CCC3)c(-c2ccc3c(c2)CCCO3)c1C=O,"['1002727-88-9', '1595112-13-2']",1595112-15-4,31-179-CAS-14321673,1,1,100,497-19-8,"['64-17-5', '108-88-3', '7732-18-5']",Suzuki coupling,Preparation of substituted pyrazolylacetic acids as inhibitors of viral,"Benarous, Richard; Chevreuil, Francis; Ledoussal, Benoit; Chasset,","World Intellectual Property Organization, WO2014053665 A1 2014-04-10",14221-01-3,,,,,,
O=C(Cl)C(=O)Cl,COc1ccc(C2C(=O)Oc3ccc(O)cc32)cc1.COc1ccc(C2C(=O)Oc3cc4c(cc32)OC(=O)C4=O)cc1,O=C(Cl)C(=O)Cl>>COc1ccc(C2C(=O)Oc3ccc(O)cc32)cc1.COc1ccc(C2C(=O)Oc3cc4c(cc32)OC(=O)C4=O)cc1,"['79-37-8', '100304-39-0']",157462-43-6,31-091-CAS-12830064,1,2,100,121-44-8,75-09-2,reflux,Benzofuranone and benzodifurantrione derivatives and process for the,"Hughes, Nigel; Newton, David Francis; Milner, David John; Deboos, Gareth","World Intellectual Property Organization, WO9412501 A1 1994-06-09",5683-33-0,,,,,,
FC1=C(F)C(F)=[C-]([B+3]([C-]2=C(F)C(F)=C(F)C(F)=C2F)([C-]2=C(F)C(F)=C(F)C(F)=C2F)O2CCCC2)C(F)=C1F,CC(C)(C)c1cc2c(c(C(C)(C)C)c1)[O-][Ti+4]13([CH3-])([CH3-])[O-]c4c(cc(C(C)(C)C)cc4C(C)(C)C)[S]1CC[S]23.CC(C)(C)c1cc2c(c(C(C)(C)C)c1)[O-][Ti+4]13([CH3-])(O4CCCC4)[O-]c4c(cc(C(C)(C)C)cc4C(C)(C)C)[S]1CC[S]23.[CH3-][B+3]([C-]1=C(F)C(F)=C(F)C(F)=C1F)([C-]1=C(F)C(F)=C(F)C(F)=C1F)[C-]1=C(F)C(F)=C(F)C(F)=C1F,FC1=C(F)C(F)=[C-]([B+3]([C-]2=C(F)C(F)=C(F)C(F)=C2F)([C-]2=C(F)C(F)=C(F)C(F)=C2F)O2CCCC2)C(F)=C1F>>CC(C)(C)c1cc2c(c(C(C)(C)C)c1)[O-][Ti+4]13([CH3-])([CH3-])[O-]c4c(cc(C(C)(C)C)cc4C(C)(C)C)[S]1CC[S]23.CC(C)(C)c1cc2c(c(C(C)(C)C)c1)[O-][Ti+4]13([CH3-])(O4CCCC4)[O-]c4c(cc(C(C)(C)C)cc4C(C)(C)C)[S]1CC[S]23.[CH3-][B+3]([C-]1=C(F)C(F)=C(F)C(F)=C1F)([C-]1=C(F)C(F)=C(F)C(F)=C1F)[C-]1=C(F)C(F)=C(F)C(F)=C1F,"['190127-52-7', '1001908-46-8']",1001908-56-0,31-614-CAS-27263499,1,1,100,,1665-00-5,sealed tube used,Regioselective 1-hexene oligomerization using cationic bis(phenolato),"Lian, Bing; Beckerle, Klaus; Spaniol, Thomas P.; Okuda, Jun","Angewandte Chemie, International Edition (2007), 46(44), 8507-8510",,,,,,,
O=C(O)c1cccc(NC(=O)c2ccccc2)c1,NC1CCCC1.O=C(Nc1cccc(C(=O)NC2CCCC2)c1)c1ccccc1,O=C(O)c1cccc(NC(=O)c2ccccc2)c1>>NC1CCCC1.O=C(Nc1cccc(C(=O)NC2CCCC2)c1)c1ccccc1,"['587-54-2', '1003-03-8']",600124-56-9,31-367-CAS-14343765,1,1,100,"['121-44-8', '2592-95-2', '25952-53-8']",68-12-2,"combinatorial, high-throughput library synthesis used, parallel synthesis",Further Development of a Robust Workup Process for Solution-Phase,"Kuroda, Noritaka; Hird, Nick; Cork, David G.","Journal of Combinatorial Chemistry (2006), 8(4), 505-512",1122-58-3,General/Typical Procedure: Library Synthesis Library synthesis was,,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,O=Cc1ccc(OCc2csc(-c3ccccc3)n2)cc1.O=C(C=Cc1ccc(OCc2csc(-c3ccccc3)n2)cc1)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1>>O=Cc1ccc(OCc2csc(-c3ccccc3)n2)cc1.O=C(C=Cc1ccc(OCc2csc(-c3ccccc3)n2)cc1)c1ccc([N+](=O)[O-])cc1,"['100-19-6', '103789-67-9']",1394124-71-0,31-329-CAS-13013264,1,1,100,1310-58-3,64-17-5,Claisen-Smith condensation,Synthesis of new thiazolylmethoxyphenyl pyrimidines and antihyperglycemic,"Bhosle, Manisha R.; Deshmukh, Amarsinh R.; Pal, Savita; Srivastava,","Bioorganic & Medicinal Chemistry Letters (2015), 25(11), 2442-2446",,,,,,,
Ic1ccc([Si]23O[Si]4(c5ccc(I)cc5)O[Si]5(c6ccc(I)cc6)O[Si](c6ccc(I)cc6)(O2)O[Si]2(c6ccc(I)cc6)O[Si](c6ccc(I)cc6)(O3)O[Si](c3ccc(I)cc3)(O4)O[Si](c3ccc(I)cc3)(O5)O2)cc1,Ic1ccc([Si]23O[Si]4(c5ccc(I)cc5)O[Si]5(c6ccc(I)cc6)O[Si](c6ccc(I)cc6)(O2)O[Si]2(c6ccc(I)cc6)O[Si](c6ccc(I)cc6)(O3)O[Si](c3ccc(I)cc3)(O4)O[Si](c3ccc(I)cc3)(O5)O2)cc1,Ic1ccc([Si]23O[Si]4(c5ccc(I)cc5)O[Si]5(c6ccc(I)cc6)O[Si](c6ccc(I)cc6)(O2)O[Si]2(c6ccc(I)cc6)O[Si](c6ccc(I)cc6)(O3)O[Si](c3ccc(I)cc3)(O4)O[Si](c3ccc(I)cc3)(O5)O2)cc1>>Ic1ccc([Si]23O[Si]4(c5ccc(I)cc5)O[Si]5(c6ccc(I)cc6)O[Si](c6ccc(I)cc6)(O2)O[Si]2(c6ccc(I)cc6)O[Si](c6ccc(I)cc6)(O3)O[Si](c3ccc(I)cc3)(O4)O[Si](c3ccc(I)cc3)(O5)O2)cc1,1001403-35-5,1291057-58-3,31-614-CAS-29400971,1,3,100,64-19-7,108-88-3,alternative reaction conditions shown,Method for preparing porous siloxane organic framework materials,"Ben, Teng; Peng, Ye; Qiu, Shilun","China, CN102382132 A 2012-03-21","['111-78-4', '366-18-7', '1295-35-8']",,,,,,
COc1cc(C(=O)NCC(C)(C)CN(C)C)ccc1[N+](=O)[O-],COc1cc(C(=O)NCC(C)(C)CN(C)C)ccc1N,COc1cc(C(=O)NCC(C)(C)CN(C)C)ccc1[N+](=O)[O-]>>COc1cc(C(=O)NCC(C)(C)CN(C)C)ccc1N,1001345-76-1,1001345-75-0,31-522-CAS-5764751,1,1,100,1333-74-0,64-17-5,Pd on charcoal used,"Pyrimidinodiazepane derivatives as Plk1 inhibitors and their preparation,","Halsall, Christopher Thomas; Rudge, David Alan; Simpson, Iain; Ward,","World Intellectual Property Organization, WO2008003958 A2 2008-01-10",7440-05-3,Intermediate 22:,,,,,
C[C@H](CCO)CCCOCc1ccccc1,C[C@H](CC=O)CCCOCc1ccccc1,C[C@H](CCO)CCCOCc1ccccc1>>C[C@H](CC=O)CCCOCc1ccccc1,1002320-64-0,2040347-76-8,31-480-CAS-17424078,1,3,100,"['67-68-5', '79-37-8', '121-44-8']",75-09-2,Swern oxidation,"Total synthesis of S (+)-curcuphenol, S (+)-curcuquinone and S","Chinta, Ramakoteswara Rao; Harikrishna, V.; Tulam, Vijaya Kumar;","Asian Journal of Chemistry (2016), 28(4), 771-778",,,,,,,
NC1CCCC1,CC(C)(C)OC(=O)N(CCC(F)(F)F)c1cc(Br)nn2ccnc12.CC(C)(C)OC(=O)N(CCC(F)(F)F)c1cc(NC2CCCC2)nn2ccnc12,NC1CCCC1>>CC(C)(C)OC(=O)N(CCC(F)(F)F)c1cc(Br)nn2ccnc12.CC(C)(C)OC(=O)N(CCC(F)(F)F)c1cc(NC2CCCC2)nn2ccnc12,"['1003-03-8', '1365244-18-3']",1365244-17-2,31-172-CAS-13849372,1,1,100,996-30-5,67-68-5,"microwave irradiation, product obtained with some reagent",Preparation of substituted imidazopyridazines as monopolar spindle 1,"Klar, Ulrich; Koppitz, Marcus; Jautelat, Rolf; Kosemund, Dirk; Bohlmann,","World Intellectual Property Organization, WO2012032031 A1 2012-03-15","['51364-51-3', '98327-87-8']",General/Typical Procedure:,,,,,
[H][C@@]12COC[C@]1([H])N(C(=O)OCc1ccccc1)[C@@H](c1ccccc1)[C@H]2CO,[H][C@@]12COC[C@]1([H])N(C(=O)OCc1ccccc1)[C@@H](c1ccccc1)[C@H]2C(=O)O,[H][C@@]12COC[C@]1([H])N(C(=O)OCc1ccccc1)[C@@H](c1ccccc1)[C@H]2CO>>[H][C@@]12COC[C@]1([H])N(C(=O)OCc1ccccc1)[C@@H](c1ccccc1)[C@H]2C(=O)O,1001407-86-8,1001407-87-9,31-499-CAS-10911105,1,1,100,7790-28-5,"['56-23-5', '75-05-8', '7732-18-5']",Sharpless conditions,Stereoselective synthesis of a novel 2-aza-7-oxabicyclo[3.3.0]octane as,"Shishido, Yuji; Ito, Fumitaka; Morita, Hiromasa; Ikunaka, Masaya","Bioorganic & Medicinal Chemistry Letters (2007), 17(24), 6887-6890",10049-08-8,,,,,,
Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCCCCCCCCCCCCCCCCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],c1ccncc1.Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCCCCCCCCCCCCCCCCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCCCCCCCCCCCCCCCCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>c1ccncc1.Cc1cc(C)c(C2=N3c4c(ccc5c4N4=CC(=C5)c5ccc(cc5)OCCCCCCCCCCCCCCCCCCOc5ccc(cc5)-c5cccc(c5)C5=CC6=N7C(=C5)C5=CC=CC=N5[Ru+2]473(N3=CC=CC=C3)N3=CC=CC=C63)C=C2)c(C)c1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],"['1002761-02-5', '110-86-1']",1002761-01-4,31-614-CAS-30457609,1,4,100,"['67-68-5', '17084-13-8']","['67-68-5', '110-86-1']","in the dark, stereoselective, alternative preparation shown",Light-Induced Geometrical Changes in Acyclic Ruthenium(II) Complexes and,"Bonnet, Sylvestre; Collin, Jean-Paul; Sauvage, Jean-Pierre","Inorganic Chemistry (2007), 46(25), 10520-10533",,17th 2+. A 16 mg (11 μmol) amount of [17photo ][PF6]2 was dissolved in 4,,,,,
O=C(O)c1ccc(C(=O)O)nc1,O.O=C([O-])C1=CC=C2C(=O)[O-][Bi+3]([O-2]3[Bi+3]4[O-2][Bi+3]35([OH2])(O=C(c3ccc(C(=O)[O-])nc3)[O-]4)[O-]C(=O)C3=CC=C(C(=O)[O-])C=N35)N2=C1.[H+],O=C(O)c1ccc(C(=O)O)nc1>>O.O=C([O-])C1=CC=C2C(=O)[O-][Bi+3]([O-2]3[Bi+3]4[O-2][Bi+3]35([OH2])(O=C(c3ccc(C(=O)[O-])nc3)[O-]4)[O-]C(=O)C3=CC=C(C(=O)[O-])C=N35)N2=C1.[H+],100-26-5,1256374-69-2,31-562-CAS-8606542,1,1,100,"['10361-44-1', '13362-78-2']",7732-18-5,"thermal, hydrothermal, Teflon-lined bomb used",Novel Bismuth and Lead Coordination Polymers Synthesized with,"Wibowo, Arief C.; Vaughn, Shae A.; Smith, Mark D.; zur Loye, Hans-Conrad","Inorganic Chemistry (2010), 49(23), 11001-11008",,Synthesis of Bi3(μ3-O)2(pydc)2(Hpydc)(H2O)2 (1). A mixture of Bi(NO3)3 .,,,,,
OB(O)c1ccc(F)c(Cl)c1,COC(=O)c1cc(S(=O)(=O)Nc2ccc(Br)nc2)ccc1C.Cc1ccc(S(=O)(=O)Nc2ccc(-c3ccc(F)c(Cl)c3)nc2)cc1C(=O)O,OB(O)c1ccc(F)c(Cl)c1>>COC(=O)c1cc(S(=O)(=O)Nc2ccc(Br)nc2)ccc1C.Cc1ccc(S(=O)(=O)Nc2ccc(-c3ccc(F)c(Cl)c3)nc2)cc1C(=O)O,"['144432-85-9', '1002361-51-4']",946493-02-3,31-179-CAS-11922644,1,1,100,584-08-7,"['64-17-5', '7732-18-5']","microwave irradiation, Suzuki coupling",Preparation of substituted phenylsulfamoyl compounds as PPAR agonists,"Hamanaka, Ernest Seiichi","World Intellectual Property Organization, WO2007091140 A1 2007-08-16",391683-95-7,General/Typical Procedure: EXAMPLE 69,,,,,
O=[N+]([O-])c1ccc(CCO)cc1,[H][C@@]12CO[Si](C(C)(C)C)(C(C)(C)C)O[C@@]1([H])[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]([15n]1cc(OCC(=O)O)c(=O)[15nH]c1=O)O2.[H][C@@]12CO[Si](C(C)(C)C)(C(C)(C)C)O[C@@]1([H])[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]([15n]1cc(OCC(=O)OCCc3ccc([N+](=O)[O-])cc3)c(=O)[15nH]c1=O)O2,O=[N+]([O-])c1ccc(CCO)cc1>>[H][C@@]12CO[Si](C(C)(C)C)(C(C)(C)C)O[C@@]1([H])[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]([15n]1cc(OCC(=O)O)c(=O)[15nH]c1=O)O2.[H][C@@]12CO[Si](C(C)(C)C)(C(C)(C)C)O[C@@]1([H])[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]([15n]1cc(OCC(=O)OCCc3ccc([N+](=O)[O-])cc3)c(=O)[15nH]c1=O)O2,"['100-27-6', '2410627-25-5']",2410627-26-6,31-356-CAS-21609346,1,1,100,1892-57-5,109-99-9,Steglich esterification,5-Oxyacetic acid modification destabilizes double helical stem structures,"Strebitzer, Elisabeth; Rangadurai, Atul; Plangger, Raphael; Kremser,","Chemistry - A European Journal (2018), 24(71), 18903-18906",1122-58-3,,,,,,
O=C(ON1C(=O)c2ccccc2C1=O)C1CCCN1C(=O)OCc1ccccc1,C=CC(=O)NCCCC[C@H](NC(C)=O)C(N)=O.CC(=O)N[C@@H](CCCCNC(=O)CCC1CCCN1C(=O)OCc1ccccc1)C(N)=O,O=C(ON1C(=O)c2ccccc2C1=O)C1CCCN1C(=O)OCc1ccccc1>>C=CC(=O)NCCCC[C@H](NC(C)=O)C(N)=O.CC(=O)N[C@@H](CCCCNC(=O)CCC1CCCN1C(=O)OCc1ccccc1)C(N)=O,"['100176-59-8', '2734169-57-2']",2734169-84-5,31-614-CAS-24845663,1,1,100,1149-23-1,68-12-2,"photochemical, solid-supported reaction, reaction irradiated with blue",Solid-phase photochemical decarboxylative hydroalkylation of peptides,"Elkhalifa, Mahmoud; Elbaum, Michael B.; Chenoweth, David M.; Molander,","Organic Letters (2021), 23(21), 8219-8223",,,,,,,
O=C(Cl)c1ccc(C(=O)Cl)cc1,O=C(c1ccc(Oc2cccc3ccccc23)cc1)c1ccc(Oc2cccc3ccccc23)cc1.c1ccc(Oc2ccccc2)cc1.O=C(Cl)c1ccc(C(=O)Cl)cc1.O=C(c1ccc(Oc2cccc3ccccc23)cc1)c1ccc(Oc2cccc3ccccc23)cc1,O=C(Cl)c1ccc(C(=O)Cl)cc1>>O=C(c1ccc(Oc2cccc3ccccc23)cc1)c1ccc(Oc2cccc3ccccc23)cc1.c1ccc(Oc2ccccc2)cc1.O=C(Cl)c1ccc(C(=O)Cl)cc1.O=C(c1ccc(Oc2cccc3ccccc23)cc1)c1ccc(Oc2cccc3ccccc23)cc1,"['100-20-9', '110814-05-6', '101-84-8']",522633-15-4,31-614-CAS-28182786,1,4,100,"['872-50-4', '67-56-1']",107-06-2,Friedel-Crafts reaction,Synthesis and characterization of novel organosoluble poly(aryl ether,"Wen, Huan; Wang, Pingping; Cheng, Shaojuan; Yan, Tao; Cai, Mingzhong","High Performance Polymers (2015), 27(6), 705-713",7446-70-0,,,,,,
O=C1CCCS1,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](C)C(=O)O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OCCCN)O[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O.CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](C)C(=O)O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OCCCNC(=O)CCCS)O[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,O=C1CCCS1>>CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](C)C(=O)O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OCCCN)O[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O.CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](C)C(=O)O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OCCCNC(=O)CCCS)O[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,"['1003-10-7', '2848650-01-9']",2848650-09-7,31-614-CAS-34909019,1,1,100,121-44-8,67-56-1,product further derivatized,Anti-gm1 antibody binding compounds,"Boilevin, Jeremy; Pang, Lijuan; Haenggi, Pascal; Herrendorff, Ruben;","World Intellectual Property Organization, WO2022224035 A2 2022-10-27",,,,,,,
O=C1CCCS1,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@@H](O)[C@H](Oc3ccc(CCN)cc3)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O.CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@@H](O)[C@H](Oc3ccc(CCNC(=O)CCCS)cc3)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,O=C1CCCS1>>CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@@H](O)[C@H](Oc3ccc(CCN)cc3)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O.CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@@H](O)[C@H](Oc3ccc(CCNC(=O)CCCS)cc3)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,"['1003-10-7', '2848649-68-1']",2848650-04-2,31-614-CAS-34909020,1,1,100,121-44-8,67-56-1,product further derivatized,Anti-gm1 antibody binding compounds,"Boilevin, Jeremy; Pang, Lijuan; Haenggi, Pascal; Herrendorff, Ruben;","World Intellectual Property Organization, WO2022224035 A2 2022-10-27",,,,,,,
[H][C@@]12C[C@]1(c1ccc(C#N)cc1)CC[C@H]2N(CCCN1CCN(C)CC1)C(=O)Nc1ccc(F)c(C(F)(F)F)c1,Cl.[H][C@@]12C[C@]1(c1ccc(C#N)cc1)CC[C@H]2NCCCN1CCN(C)CC1,[H][C@@]12C[C@]1(c1ccc(C#N)cc1)CC[C@H]2N(CCCN1CCN(C)CC1)C(=O)Nc1ccc(F)c(C(F)(F)F)c1>>Cl.[H][C@@]12C[C@]1(c1ccc(C#N)cc1)CC[C@H]2NCCCN1CCN(C)CC1,1001615-67-3,1372609-52-3,31-353-CAS-12052199,1,1,100,7647-01-0,60-29-7,other product also detected,Stereochemical Assignment of Substituted 2-Aminobicyclo[3.1.0]hexane and,"Christensen, Kirsten E.; Csatayova, Kristina; Davies, Stephen G.; Lee,","Journal of Chemical Crystallography (2011), 41(7), 1007-1012",,"(RS,RS,RS)-N-[3'-(4''-methylpiperazin-1''-yl)propyl]-N-{5-(4'''-cyanophenyl)bicyclo[3.1.0]hexan-2-yl}amine",,,,,
CO,CC(=O)c1ccc([N+](=O)[O-])cc1.COC(CBr)(OC)c1ccc([N+](=O)[O-])cc1,CO>>CC(=O)c1ccc([N+](=O)[O-])cc1.COC(CBr)(OC)c1ccc([N+](=O)[O-])cc1,"['67-56-1', '100-19-6']",828935-07-5,31-301-CAS-3724954,1,1,100,77-48-5,67-56-1,"molecular sieves used, alternate amine used as catalyst",Process for preparation of α-haloacetophenone dimethyl ketals from,"Zou, Xinzhuo; Zhou, Bin; Zhu, Wei; Han, Bingbing","China, CN101624321 A 2010-01-13",110-89-4,,,,,,
CCOC(=O)Oc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2CO)cc1,O=[N+]([O-])c1ccc(/C=C/c2ccc(O)cc2)c(CO)c1,CCOC(=O)Oc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2CO)cc1>>O=[N+]([O-])c1ccc(/C=C/c2ccc(O)cc2)c(CO)c1,1002921-52-9,1002921-53-0,31-352-CAS-8242706,1,2,100,"['584-08-7', '7647-01-0']","['67-56-1', '7732-18-5']",workup,Synthesis of alkoxynitrostilbenes as chromophores for nonlinear optical,"Diemer, Vincent; Chaumeil, Helene; Defoin, Albert; Carre, Christiane","Synthesis (2007), (21), 3333-3338",,4-{(E)-2-[2-(Hydroxymethyl)-4-nitrophenyl]vinyl}phenol (10) To a soln of,,,,,
Nc1ccccc1NC=C1C(=O)Oc2ccccc2C1=O,O=c1oc2ccccc2c(O)c1-c1nc2ccccc2[nH]1,Nc1ccccc1NC=C1C(=O)Oc2ccccc2C1=O>>O=c1oc2ccccc2c(O)c1-c1nc2ccccc2[nH]1,100185-75-9,398460-71-4,31-614-CAS-26163495,1,1,100,,64-19-7,alternative solvent MeOH,Reactions of 3-substituted chromones with o-phenylenediamine,"Risitano, Francesco; Grassi, Giovanni; Foti, Francesco","Journal of Heterocyclic Chemistry (2001), 38(5), 1083-1086",,,,,,,
CC(NCCCN(CCCNC(=O)C(F)(F)F)C(=O)OCc1ccc(OCC(=O)O)cc1)=C1C(=O)CC(C)(C)CC1=O,CSC(=NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C.CCCCCCCCCCCCCCC(=O)O.CCCCCCCCCCCCCCC(=O)NCCCNCCCNC(=N)N,CC(NCCCN(CCCNC(=O)C(F)(F)F)C(=O)OCc1ccc(OCC(=O)O)cc1)=C1C(=O)CC(C)(C)CC1=O>>CSC(=NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C.CCCCCCCCCCCCCCC(=O)O.CCCCCCCCCCCCCCC(=O)NCCCNCCCNC(=N)N,"['674298-02-3', '107819-90-9', '1002-84-2']",674298-28-3,31-353-CAS-11673651,1,6,100,"['693-13-0', '2592-95-2', '302-01-2', '110-86-1', '1310-58-3', '76-05-1', '100-68-5', '7732-18-5']","['75-09-2', '68-12-2', '109-99-9', '67-56-1']","solid-supported reaction, first stage is attachment to aminomethyl",Solid-phase synthesis of 89 polyamine-based cationic lipids for DNA,"Yingyongnarongkul, Boon-ek; Howarth, Mark; Elliott, Tim; Bradley, Mark","Chemistry - A European Journal (2004), 10(2), 463-473",,,,,,,
Oc1c(F)c(F)c(F)c(F)c1F,CC(C)c1cccc(C(C)C)c1N=[Mo](=CC(C)(C)c1ccccc1)(O[Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C)n1cccc1.CC(C)c1cccc(C(C)C)c1N=[Mo](=CC(C)(C)c1ccccc1)(Oc1c(F)c(F)c(F)c(F)c1F)O[Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C,Oc1c(F)c(F)c(F)c(F)c1F>>CC(C)c1cccc(C(C)C)c1N=[Mo](=CC(C)(C)c1ccccc1)(O[Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C)n1cccc1.CC(C)c1cccc(C(C)C)c1N=[Mo](=CC(C)(C)c1ccccc1)(Oc1c(F)c(F)c(F)c(F)c1F)O[Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C,"['771-61-9', '1002746-09-9']",1002746-14-6,31-562-CAS-5683570,1,1,100,,1076-43-3,"NMR experiment, J. Young NMR tube used, product not isolated",Synthesis of molybdenum imido alkylidene complexes that contain siloxides,"Wampler, Keith M.; Schrock, Richard R.; Hock, Adam S.","Organometallics (2007), 26(26), 6674-6680",,General/Typical Procedure: In Situ Preparation of,,,,,
