Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:CAT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:RGT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:CAT:AMD
N#CCc1ccccc1,C=CC(=O)OCC.CCOC(=O)CCC(C#N)(CCC(=O)OCC)c1ccccc1,N#CCc1ccccc1>>C=CC(=O)OCC.CCOC(=O)CCC(C#N)(CCC(=O)OCC)c1ccccc1,"['140-29-4', '140-88-5']",61330-07-2,31-254-CAS-20024085,1,1,100,2306477-69-8,,"glovebox used, sealed screw-capped tube used, product depends on reaction",Pyridine-Based PCP-Ruthenium Complexes: Unusual Structures and,"Tang, Shan; von Wolff, Niklas; Diskin-Posner, Yael; Leitus, Gregory;","Journal of the American Chemical Society (2019), 141(18), 7554-7561",,,
COC(=O)CC(=O)OC,O=[N+]([O-])C=Cc1cccc2ccccc12.COC(=O)C(C(=O)OC)[C@@H](C[N+](=O)[O-])c1cccc2ccccc12,COC(=O)CC(=O)OC>>O=[N+]([O-])C=Cc1cccc2ccccc12.COC(=O)C(C(=O)OC)[C@@H](C[N+](=O)[O-])c1cccc2ccccc12,"['108-59-8', '4735-49-3']",761434-59-7,31-614-CAS-37045527,1,2,100,2951011-64-4,"['108-88-3', '7732-18-5']","stereoselective, Michael addition, %ee = 95, alternate reaction",Diarylmethylamine ('Butterfly'-Type Amine) Unit: A Useful Unit for the,"Ogawa, Hiromasa; Okawa, Hiroto; Mori, Keiji","Synlett (2023), 34(16), 1899-1904",144-55-8,,
COc1ccc(C(=O)CBr)cc1,CC(=O)C(=Cc1sccc1Br)C(C)=O.COc1ccc(C(=O)[C@H]2OC(C)=C(C(C)=O)[C@@H]2c2sccc2Br)cc1,COc1ccc(C(=O)CBr)cc1>>CC(=O)C(=Cc1sccc1Br)C(C)=O.COc1ccc(C(=O)[C@H]2OC(C)=C(C(C)=O)[C@@H]2c2sccc2Br)cc1,"['2632-13-5', '2148898-58-0']",2148898-88-6,31-254-CAS-17926020,1,1,100,,109-99-9,"stereoselective, diastereomeric ratio is grater than 95:5","Enantioselective Synthesis of 2,3-Dihydrofurans via Ammonium Ylides","Worgull, Dennis; Oehler, Laura; Strache, Joss Pepe; Friedrichs, Teresa;","European Journal of Organic Chemistry (2017), 2017(40), 6077-6080","['110-86-1', '584-08-7']",,
CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1,CCOC(=O)/C=C/COc1ccc(Cl)nc1.CCOC(=O)C[C@@H](COc1ccc(Cl)nc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1>>CCOC(=O)/C=C/COc1ccc(Cl)nc1.CCOC(=O)C[C@@H](COc1ccc(Cl)nc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['81477-94-3', '3049309-73-8']",3049309-25-0,31-614-CAS-40899475,1,2,100,6674-22-2,109-99-9,"stereoselective, Michael addition, dr >20:1","DBU-Catalyzed Glutamation of Phenols, Thiophenols, Secondary Amines and","Wang, Xue-Ying; Zhu, Si-Kai; Cheng, Mei-Ling; Jiang, Ru; Zhang,","European Journal of Organic Chemistry (2024), 27(22), e202400184","['7550-35-8', '7732-18-5']",,
CC(=O)/C=C/c1ccccc1,COC(=O)C1Cc2ccccc2C1=O.COC(=O)C1(C(CC(C)=O)c2ccccc2)Cc2ccccc2C1=O,CC(=O)/C=C/c1ccccc1>>COC(=O)C1Cc2ccccc2C1=O.COC(=O)C1(C(CC(C)=O)c2ccccc2)Cc2ccccc2C1=O,"['1896-62-4', '22955-77-7']",867293-11-6,31-254-CAS-15543420,1,1,100,144026-79-9,75-05-8,"solid-supported catalyst, Michael reaction",Polymer-Micelle Incarcerated Scandium as a Polymer-Supported Catalyst for,"Takeuchi, Masahiro; Akiyama, Ryo; Kobayashi, Shu","Journal of the American Chemical Society (2005), 127(38), 13096-13097",,General/Typical Procedure: A typical procedure for Michael reaction. To a,polymer-micelle immobilized
O=C(C#CBr)c1ccccc1,Cc1ccc(S(=O)(=O)NCCC2Cc3ccccc3C2=O)cc1.Cc1ccc(S(=O)(=O)N2CCC3(Cc4ccccc4C3=O)/C2=C\C(=O)c2ccccc2)cc1,O=C(C#CBr)c1ccccc1>>Cc1ccc(S(=O)(=O)NCCC2Cc3ccccc3C2=O)cc1.Cc1ccc(S(=O)(=O)N2CCC3(Cc4ccccc4C3=O)/C2=C\C(=O)c2ccccc2)cc1,"['3876-61-7', '2134108-83-9']",2134108-74-8,31-066-CAS-17795657,1,1,100,66-71-7,,"stereoselective, alternative reaction conditions shown",Direct Spirocyclization from Keto-sulfonamides: An Approach to Azaspiro,"Beltran, Frederic; Fabre, Indira; Ciofini, Ilaria; Miesch, Laurence","Organic Letters (2017), 19(19), 5042-5045",534-17-8,,
O=[N+]([O-])/C=C/c1ccccc1,CSCCC1OC(c2cccc(C)c2)=NC1=O.CSCC[C@]1([C@@H](C[N+](=O)[O-])c2ccccc2)OC(c2cccc(C)c2)=NC1=O,O=[N+]([O-])/C=C/c1ccccc1>>CSCCC1OC(c2cccc(C)c2)=NC1=O.CSCC[C@]1([C@@H](C[N+](=O)[O-])c2ccccc2)OC(c2cccc(C)c2)=NC1=O,"['5153-67-3', '1393357-29-3']",1393357-13-5,31-254-CAS-7726768,1,3,100,"['557-20-0', '432042-92-7']","['109-99-9', '110-54-3', '107-12-0', '60-29-7', '7732-18-5']","stereoselective, more than 19:1 dr, 92% ee, high dilution conditions",Highly Stereoselective Synthesis of α-Alkyl-α-Hydroxycarboxylic Acid,"Trost, Barry M.; Hirano, Keiichi","Angewandte Chemie, International Edition (2012), 51(26), 6480-6483,",7778-77-0,,
COC(=O)C(=CCC(C)C)C(=O)OC,COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)C(N=C(c1ccccc1)c1ccccc1)C(CC(C)C)C(C(=O)OC)C(=O)OC,COC(=O)C(=CCC(C)C)C(=O)OC>>COC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)C(N=C(c1ccccc1)c1ccccc1)C(CC(C)C)C(C(=O)OC)C(=O)OC,"['53618-21-6', '81167-39-7']",1259433-64-1,31-254-CAS-9499163,1,2,100,"['34946-82-2', '706814-27-9', '865-47-4']",109-99-9,"stereoselective, Michael addition, Schlenk tube used, molecular sieves",Cu-catalyzed asymmetric Michael addition of glycine derivatives to,"Hou, Xuelong; Li, Qing; Yao, Jun; Dai, Lixin","Chinese Journal of Chemistry (2010), 28(9), 1761-1764",67-63-0,,
CCOC(=O)C(F)C(=O)OCC,O=C/C=C/c1ccccc1.CCOC(=O)C(F)(C(=O)OCC)[C@@H](CC=O)c1ccccc1,CCOC(=O)C(F)C(=O)OCC>>O=C/C=C/c1ccccc1.CCOC(=O)C(F)(C(=O)OCC)[C@@H](CC=O)c1ccccc1,"['685-88-1', '14371-10-9']",1182719-33-0,31-254-CAS-5631821,1,1,100,848821-58-9,75-09-2,"stereoselective, optimization study (catalysts, time, solevents, bases),","Highly enantioselective fluoromalonate addition to α,β-unsaturated","Companyo, Xavier; Hejnova, Monika; Kamlar, Martin; Vesely, Jan; Moyano,","Tetrahedron Letters (2009), 50(35), 5021-5024",127-09-3,,
O=[N+]([O-])C1CCCCC1,C/C=C/C(=O)OCC.CCOC(=O)CC(C)C1([N+](=O)[O-])CCCCC1,O=[N+]([O-])C1CCCCC1>>C/C=C/C(=O)OCC.CCOC(=O)CC(C)C1([N+](=O)[O-])CCCCC1,"['1122-60-7', '623-70-1']",439291-02-8,31-254-CAS-10545632,1,2,100,175845-21-3,78-82-0,other catalyst gave lower yield,"P(RNCH2CH2)3N: Efficient 1,4-Addition Catalysts","Kisanga, Philip B.; Ilankumaran, Palanichamy; Fetterly, Brandon M.;","Journal of Organic Chemistry (2002), 67(11), 3555-3560",,General/Typical Procedure: General Procedure for the Michael Addition of,
CC(=O)CC(C)=O,O=[N+]([O-])/C(Br)=C/c1ccccc1.CC(=O)C1=C(C)O[C@H]([N+](=O)[O-])[C@H]1c1ccccc1,CC(=O)CC(C)=O>>O=[N+]([O-])/C(Br)=C/c1ccccc1.CC(=O)C1=C(C)O[C@H]([N+](=O)[O-])[C@H]1c1ccccc1,"['123-54-6', '18315-81-6']",2826274-61-5,31-614-CAS-33897340,1,1,100,1610724-48-5,75-09-2,"stereoselective, %ee = 95, optimization study (optimized on base,","Enantioselective synthesis of 2,3-dihydrofurans using a bifunctional","Susam, Zeynep Dilsad; Bozdemir, Merve; Gundogdu, Gulsum; Tanyeli,","New Journal of Chemistry (2022), 46(2), 599-606",497-19-8,,
COC(=O)CC(=O)OC,O=[N+]([O-])/C=C/c1ccc(Cl)cc1F.COC(=O)C(C(=O)OC)[C@@H](C[N+](=O)[O-])c1ccc(Cl)cc1F,COC(=O)CC(=O)OC>>O=[N+]([O-])/C=C/c1ccc(Cl)cc1F.COC(=O)C(C(=O)OC)[C@@H](C[N+](=O)[O-])c1ccc(Cl)cc1F,"['108-59-8', '1056474-11-3']",2226831-74-7,31-254-CAS-19129038,1,1,100,941321-22-8,108-88-3,"stereoselective, catalyst prepared and used",Preparation of N-(nitrogen-containing polycyclic,"Ninomiya, Akishi; Imura, Yuuki; Akaza, Hiroto; Komori, Ken-Ichi;","World Intellectual Property Organization, WO2018092916 A1 2018-05-24",,,
CC(=O)/C=C/c1ccccc1,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.CC(=O)C[C@H](c1ccccc1)[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,CC(=O)/C=C/c1ccccc1>>CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.CC(=O)C[C@H](c1ccccc1)[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['1896-62-4', '81477-94-3']",1808186-53-9,31-254-CAS-15595664,1,1,100,1808186-37-9,141-78-6,"stereoselective, diastereomeric ratio >20:1, catalyst prepared and used,",Structure-activity relationship studies of cyclopropenimines as,"Bandar, Jeffrey S.; Barthelme, Alexandre; Mazori, Alon Y.; Lambert,","Chemical Science (2015), 6(2), 1537-1547",,,
C=C(/C=C/OC)O[Si](C)(C)C(C)(C)C,O=C(/C=C/C(=O)N1CCOC1=O)Oc1ccccc1.O=C1C=C[C@H](C(=O)N2CCOC2=O)[C@@H](C(=O)Oc2ccccc2)C1,C=C(/C=C/OC)O[Si](C)(C)C(C)(C)C>>O=C(/C=C/C(=O)N1CCOC1=O)Oc1ccccc1.O=C1C=C[C@H](C(=O)N2CCOC2=O)[C@@H](C(=O)Oc2ccccc2)C1,"['98066-22-9', '1190386-05-0']",1190386-24-3,31-254-CAS-14902337,1,6,100,"['54761-04-5', '1190589-20-8', '6674-22-2']","['75-09-2', '7732-18-5']","low pressure (in stage 1), regioselective, stereoselective, Diels-Alder",Highly enantioselective Diels-Alder reaction of Danishefsky-type diene,"Harada, Shinji; Toudou, Nozomi; Hiraoka, Shiharu; Nishida, Atsushi","Tetrahedron Letters (2009), 50(40), 5652-5655","['76-05-1', '144-55-8']",,
C/C=C/C=O,CC(=O)Cc1ccc([N+](=O)[O-])cc1.CC(=O)[C@@H](c1ccc([N+](=O)[O-])cc1)[C@H](C)CC=O,C/C=C/C=O>>CC(=O)Cc1ccc([N+](=O)[O-])cc1.CC(=O)[C@@H](c1ccc([N+](=O)[O-])cc1)[C@H](C)CC=O,"['123-73-9', '5332-96-7']",1350815-06-3,31-254-CAS-11462151,1,2,100,848821-61-4,"['64-17-5', '7732-18-5']","regioselective, stereoselective, Michael addition, optimization study,",An organocatalytic approach to enantiomerically enriched,"Duce, Sara; Jorge, Maria; Alonso, Ines; Ruano, Jose Luis Garcia; Cid, M.","Organic & Biomolecular Chemistry (2011), 9(24), 8253-8260",546-89-4,,
N#CCC#N,O=CC1=CCCCC1=O.N#CC(C#N)C1CCCC(O)=C1C=O,N#CCC#N>>O=CC1=CCCCC1=O.N#CC(C#N)C1CCCC(O)=C1C=O,"['109-77-3', '94250-47-2']",1643863-29-9,31-254-CAS-14636566,1,3,100,,"['109-99-9', '7732-18-5']",Michael addition,Improved synthesis of and nucleophilic addition to,"Adary, Elan M.; Chang, Chih-wei; D'Auria, Damian T.; Nguyen, Phuc M.;","Tetrahedron Letters (2015), 56(2), 386-389","['865-47-4', '7778-77-0']",,
C=CC(=O)CCCCC,COC(=O)C1CC2(CCC1=O)OCCO2.CCCCCC(=O)CCC1(C(=O)OC)CC2(CCC1=O)OCCO2,C=CC(=O)CCCCC>>COC(=O)C1CC2(CCC1=O)OCCO2.CCCCCC(=O)CCC1(C(=O)OC)CC2(CCC1=O)OCCO2,"['4312-99-6', '52506-21-5']",1895917-59-5,31-254-CAS-15607657,1,1,100,,67-56-1,"regioselective, Michael addition","Methoxycarbonyl migration in 3-methylene-1,4-cyclohexadienes. An","Boumediene, Mehdi; Guignard, Raphael F.; Zard, Samir Z.","Tetrahedron (2016), 72(26), 3678-3686",121-44-8,,
C=CC(C)=O,CCC(C(C)=O)C(C)=O.CCC(CCC(C)=O)(C(C)=O)C(C)=O,C=CC(C)=O>>CCC(C(C)=O)C(C)=O.CCC(CCC(C)=O)(C(C)=O)C(C)=O,"['78-94-4', '1540-34-7']",379738-34-8,31-254-CAS-14429333,1,1,100,341-02-6,75-09-2,"conversion, 100%, Michael addition reaction",Carbocations as Lewis Acid Catalysts: Reactivity and Scope,"Bah, Juho; Naidu, Veluru Ramesh; Teske, Johannes; Franzen, Johan","Advanced Synthesis & Catalysis (2015), 357(1), 148-158",,,
[H][C@@]12C(C)(C)[C@]1(OC(=O)C(C)C)[C@H](OC(=O)c1ccccc1)[C@@H](C)C1([C@@]3([H])C=C(C)C(=O)C3)OC(=O)C(C)=C[C@]12[H],[H][C@]12C=C(C)C(=O)[C@@]1([H])[C@@]1([H])[C@@H](C)C(=O)O[C@@]23[C@H](C)[C@@H](OC(=O)c2ccccc2)[C@@]2(OC(=O)C(C)C)C(C)(C)[C@@]2([H])[C@]13[H],[H][C@@]12C(C)(C)[C@]1(OC(=O)C(C)C)[C@H](OC(=O)c1ccccc1)[C@@H](C)C1([C@@]3([H])C=C(C)C(=O)C3)OC(=O)C(C)=C[C@]12[H]>>[H][C@]12C=C(C)C(=O)[C@@]1([H])[C@@]1([H])[C@@H](C)C(=O)O[C@@]23[C@H](C)[C@@H](OC(=O)c2ccccc2)[C@@]2(OC(=O)C(C)C)C(C)(C)[C@@]2([H])[C@]13[H],3063333-73-0,3063333-74-1,31-614-CAS-44225912,1,1,100,17631-68-4,108-88-3,"stereoselective, reaction in a Schlenk tube",Asymmetric Total Synthesis of Euphordraculoate A and Pedrolide,"Tu, Canhui; Yang, Yunlong; Jiang, Yuzhi; Hao, Yan; Wang, Zhen; Fu,","Angewandte Chemie, International Edition (2024), 63(44), e202409997",,,
C[N+](=O)[O-],CCCCCCOc1c(OC)cc(/C=C/C(=O)c2ccc(Br)cc2)cc1OC.CCCCCCOc1c(OC)cc(C(CC(=O)c2ccc(Br)cc2)C[N+](=O)[O-])cc1OC,C[N+](=O)[O-]>>CCCCCCOc1c(OC)cc(/C=C/C(=O)c2ccc(Br)cc2)cc1OC.CCCCCCOc1c(OC)cc(C(CC(=O)c2ccc(Br)cc2)C[N+](=O)[O-])cc1OC,"['75-52-5', '2460308-29-4']",2460308-30-7,31-254-CAS-22548656,1,2,100,,"['67-56-1', '7732-18-5']","regioselective, Michael addition",Poly-halogenated aza-bodipy dyes with improved solubility as a versatile,"David, Sylvain; Pilet, Guillaume; Berginc, Gerard; Andraud, Chantal;","New Journal of Chemistry (2020), 44(30), 13125-13130","['109-89-7', '7647-01-0']",,
CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1,CCOC(=O)/C=C/COc1ccc(C(=O)OCC)cc1.CCOC(=O)C[C@@H](COc1ccc(C(=O)OCC)cc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1>>CCOC(=O)/C=C/COc1ccc(C(=O)OCC)cc1.CCOC(=O)C[C@@H](COc1ccc(C(=O)OCC)cc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['81477-94-3', '3049309-65-8']",3049309-15-8,31-614-CAS-40899464,1,2,100,6674-22-2,109-99-9,"stereoselective, Michael addition, dr >20:1","DBU-Catalyzed Glutamation of Phenols, Thiophenols, Secondary Amines and","Wang, Xue-Ying; Zhu, Si-Kai; Cheng, Mei-Ling; Jiang, Ru; Zhang,","European Journal of Organic Chemistry (2024), 27(22), e202400184","['7550-35-8', '7732-18-5']",,
C1N2CN3CN1CN(C2)C3,O=C(CC(=O)c1ccccc1)c1ccccc1.O=C(c1ccccc1)C(CC(C(=O)c1ccccc1)C(=O)c1ccccc1)C(=O)c1ccccc1,C1N2CN3CN1CN(C2)C3>>O=C(CC(=O)c1ccccc1)c1ccccc1.O=C(c1ccccc1)C(CC(C(=O)c1ccccc1)C(=O)c1ccccc1)C(=O)c1ccccc1,"['100-97-0', '120-46-7']",4727-98-4,31-254-CAS-18283166,1,1,100,,7732-18-5,"ultrasound, using optimal conditions without sonication gave 85% yield",Organic reactions in aqueous solution. Part 10. Effect of sonication on,"Ali, S. Shaukat; Butt, Irfan Rashid; Ashraf, C. M.","Journal of the Chemical Society of Pakistan (1999), 21(1), 78-82",7647-01-0,,
C=CC(C)=O,N#CCC(=O)c1ccccc1.CC(=O)CCC(C#N)C(=O)c1ccccc1,C=CC(C)=O>>N#CCC(=O)c1ccccc1.CC(=O)CCC(C#N)C(=O)c1ccccc1,"['78-94-4', '614-16-4']",2497468-89-8,31-254-CAS-22778290,1,1,100,"['17455-13-9', '2042668-43-7']",1665-00-5,both caged catalyst and 18-crown-6 required for optimal reaction and,Synergistic noncovalent catalysis facilitates base-free Michael addition,"Wang, Jianzhu; Young, Tom A.; Duarte, Fernanda; Lusby, Paul J.","Journal of the American Chemical Society (2020), 142(41), 17743-17750",,,
CCOC(=O)C1CCCC1=O,O=[N+]([O-])/C=C/c1ccc(F)cc1.CCOC(=O)[C@@]1([C@@H](C[N+](=O)[O-])c2ccc(F)cc2)CCCC1=O,CCOC(=O)C1CCCC1=O>>O=[N+]([O-])/C=C/c1ccc(F)cc1.CCOC(=O)[C@@]1([C@@H](C[N+](=O)[O-])c2ccc(F)cc2)CCCC1=O,"['611-10-9', '5153-69-5']",1415105-50-8,31-254-CAS-16587124,1,1,100,1048677-33-3,,"combinatorial, green chemistry, ultrasound, Michael addition, recyclable",Basic-functionalized recyclable ionic liquid catalyst: A solvent-free,"Narayanaperumal, Senthil; da Silva, Rodrigo Cesar; Feu, Karla Santos; de","Ultrasonics Sonochemistry (2013), 20(3), 793-798",,,
O=C1CC(Cn2ccccc2=O)CN1Cc1ccccc1,[H][C@@]12CN(Cc3ccccc3)C(=O)[C@]1([H])[C@@]1([H])C=CCC(=O)N1C2,O=C1CC(Cn2ccccc2=O)CN1Cc1ccccc1>>[H][C@@]12CN(Cc3ccccc3)C(=O)[C@]1([H])[C@@]1([H])C=CCC(=O)N1C2,1227725-31-6,1227725-58-7,31-254-CAS-8748475,1,1,100,,,"stereoselective, key step, alpha:beta 1:3",Lactam enolate-pyridone addition: synthesis of 4-halocytisines,"Durkin, Patrick; Magrone, Pietro; Matthews, Stella; Dallanoce, Clelia;","Synlett (2010), (18), 2789-2791",4039-32-1,,
N#CC(C#N)c1ccccc1,CC=CC(=O)N1CCCCC1.CC(CC(=O)N1CCCCC1)C(C#N)(C#N)c1ccccc1,N#CC(C#N)c1ccccc1>>CC=CC(=O)N1CCCCC1.CC(CC(=O)N1CCCCC1)C(C#N)(C#N)c1ccccc1,"['3041-40-5', '3626-69-5']",2414959-22-9,31-254-CAS-21750751,1,1,100,674783-97-2,75-09-2,"photochemical (Blue LED (450 nm) used), Michael addition","Photoredox Michael addition of phenylmalononitrile onto α,β-unsaturated","Hirahama, Toshiya; Umezawa, Misaki; Shoji, Mitsuru","Tetrahedron Letters (2020), 61(18), 151824",513-35-9,,
COC(=O)CN=C(c1ccccc1)c1ccccc1,CCOC(=O)/C=C/COc1ccccc1.CCOC(=O)C[C@@H](COc1ccccc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC,COC(=O)CN=C(c1ccccc1)c1ccccc1>>CCOC(=O)/C=C/COc1ccccc1.CCOC(=O)C[C@@H](COc1ccccc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC,"['81167-39-7', '113232-17-0']",3049309-29-4,31-614-CAS-40899474,1,2,100,6674-22-2,109-99-9,"stereoselective, Michael addition, dr >20:1","DBU-Catalyzed Glutamation of Phenols, Thiophenols, Secondary Amines and","Wang, Xue-Ying; Zhu, Si-Kai; Cheng, Mei-Ling; Jiang, Ru; Zhang,","European Journal of Organic Chemistry (2024), 27(22), e202400184","['7550-35-8', '7732-18-5']",,
CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1,CCOC(=O)C=CCOc1ccc(F)cc1.CCOC(=O)C[C@@H](COc1ccc(F)cc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1>>CCOC(=O)C=CCOc1ccc(F)cc1.CCOC(=O)C[C@@H](COc1ccc(F)cc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['81477-94-3', '1562235-15-7']",3049309-04-5,31-614-CAS-40899451,1,2,100,6674-22-2,109-99-9,"stereoselective, Michael addition, dr >20:1","DBU-Catalyzed Glutamation of Phenols, Thiophenols, Secondary Amines and","Wang, Xue-Ying; Zhu, Si-Kai; Cheng, Mei-Ling; Jiang, Ru; Zhang,","European Journal of Organic Chemistry (2024), 27(22), e202400184","['7550-35-8', '7732-18-5']",,
CC[N+](=O)[O-],N#CC(C#N)=Cc1ccccc1.CC(C(c1ccccc1)C(C#N)C#N)[N+](=O)[O-],CC[N+](=O)[O-]>>N#CC(C#N)=Cc1ccccc1.CC(C(c1ccccc1)C(C#N)C#N)[N+](=O)[O-],"['79-24-3', '2700-22-3']",1807448-98-1,31-254-CAS-6372755,1,1,100,1344-28-1,,"microwave irradiation, NO SOLVENT",Michael monoaddition of nitromethane on gem-diactivated alkenes in dry,"Michaud, David; Texier-Boullet, Francoise; Hamelin, Jack","Tetrahedron Letters (1997), 38(43), 7563-7564",,,
CCCC=O,O=C1C=C(c2ccc(C(F)(F)F)cc2)C(=O)N1.[H][C@@]1([C@H](C=O)CC)C(=O)NC(=O)[C@H]1c1ccc(C(F)(F)F)cc1,CCCC=O>>O=C1C=C(c2ccc(C(F)(F)F)cc2)C(=O)N1.[H][C@@]1([C@H](C=O)CC)C(=O)NC(=O)[C@H]1c1ccc(C(F)(F)F)cc1,"['123-72-8', '863679-32-7']",2763945-11-3,31-614-CAS-31589010,1,1,100,2763945-02-2,123-91-1,"chemoselective, stereoselective, ee (92%), dr = 72:16:2:10",Peptide-Catalyzed Stereoselective Conjugate Addition Reaction of,"Vastakaite, Greta; Gruenenfelder, Claudio E.; Wennemers, Helma","Chemistry - A European Journal (2022), 28(18), e202200215",109-02-4,,
N#CCC#N,Cc1ccccc1/C=C1\CN(C)C/C(=C\c2ccccc2C)C1=O.Cc1ccccc1/C=C1\CN(C)CC2=C1OC(N)=C(C#N)C2c1ccccc1C,N#CCC#N>>Cc1ccccc1/C=C1\CN(C)C/C(=C\c2ccccc2C)C1=O.Cc1ccccc1/C=C1\CN(C)CC2=C1OC(N)=C(C#N)C2c1ccccc1C,"['109-77-3', '920030-39-3']",1000374-24-2,31-254-CAS-2074189,1,1,100,,,"green chemistry, solid state, reactants ground together using a mortar",Antimycobacterial activity of novel,"Kumar, Raju Ranjith; Perumal, Subbu; Menendez, J. Carlos; Yogeeswari,","Bioorganic & Medicinal Chemistry (2011), 19(11), 3444-3450",141-52-6,,
COC(=O)C1Cc2ccccc2C1=O,C/C=C/C(=O)c1ccccc1.COC(=O)C1(C(C)CC(=O)c2ccccc2)Cc2ccccc2C1=O,COC(=O)C1Cc2ccccc2C1=O>>C/C=C/C(=O)c1ccccc1.COC(=O)C1(C(C)CC(=O)c2ccccc2)Cc2ccccc2C1=O,"['22955-77-7', '35845-66-0']",867293-14-9,31-254-CAS-13507779,1,1,100,144026-79-9,75-05-8,"solid-supported catalyst, Michael reaction",Polymer-Micelle Incarcerated Scandium as a Polymer-Supported Catalyst for,"Takeuchi, Masahiro; Akiyama, Ryo; Kobayashi, Shu","Journal of the American Chemical Society (2005), 127(38), 13096-13097",,General/Typical Procedure: A typical procedure for Michael reaction. To a,polymer-micelle immobilized
O=[N+]([O-])C=Cc1ccccc1,COP(=O)(CC(=O)c1ccccc1)OC.COP(=O)(OC)[C@@H](C(=O)c1ccccc1)[C@H](C[N+](=O)[O-])c1ccccc1,O=[N+]([O-])C=Cc1ccccc1>>COP(=O)(CC(=O)c1ccccc1)OC.COP(=O)(OC)[C@@H](C(=O)c1ccccc1)[C@H](C[N+](=O)[O-])c1ccccc1,"['102-96-5', '1015-28-7']",1809407-58-6,31-254-CAS-13888999,1,1,100,"['121-44-8', '952650-55-4']",108-88-3,"green chemistry, regioselective, stereoselective, asymmetric Michael",Asymmetric Michael additions of a β-oxophosphonate to nitroalkenes in the,"Reznikov, Alexander N.; Sibiryakova, Anastasiya E.; Rybakov, Victor B.;","Tetrahedron: Asymmetry (2015), 26(18-19), 1050-1057",,,
COc1ccc(C#Cc2ccccc2C2OCCO2)cc1,COc1ccc(C2=Cc3ccccc3C23OCCO3)cc1,COc1ccc(C#Cc2ccccc2C2OCCO2)cc1>>COc1ccc(C2=Cc3ccccc3C23OCCO3)cc1,2411596-78-4,2411596-60-4,31-254-CAS-21561447,1,2,100,"['26042-64-8', '852445-83-1']",107-06-2,"93% isolated yield, optimization study, optimized on catalyst and solvent",Gold-Catalyzed Cyclization of 2-Alkynylaldehyde Cyclic Acetals via,"Yamada, Tsuyoshi; Park, Kwihwan; Tachikawa, Takumu; Fujii, Akiko;","Organic Letters (2020), 22(5), 1883-1888",121-44-8,,
COc1ccc(COC(=O)CC(=O)Sc2ccc(OC)cc2)cc1,O=[N+]([O-])/C=C/c1ccc(F)cc1Br.COc1ccc(SC(=O)C[C@@H](C[N+](=O)[O-])c2ccc(F)cc2Br)cc1,COc1ccc(COC(=O)CC(=O)Sc2ccc(OC)cc2)cc1>>O=[N+]([O-])/C=C/c1ccc(F)cc1Br.COc1ccc(SC(=O)C[C@@H](C[N+](=O)[O-])c2ccc(F)cc2Br)cc1,"['1353143-26-6', '1447668-13-4']",1621509-78-1,31-154-CAS-18256981,1,3,100,852913-25-8,"['108-88-3', '75-09-2']","stereoselective, organocatalyst, key step for indoline synthesis",Stereoselective Synthesis of Indolines via Organocatalytic Thioester,"Kolarovic, Andrej; Kaslin, Alexander; Wennemers, Helma","Organic Letters (2014), 16(16), 4236-4239","['76-05-1', '7087-68-5']",General/Typical Procedure: General procedure for the conjugate addition,
